# timestamp tx ty tz qx qy qz qw
1770106737920211426 -1.319964 -0.092588 7.343932 0.033485 0.971892 -0.070811 0.222015
1770106738326327148 -1.421431 -0.163296 7.208695 0.042868 0.950288 -0.052006 0.303992
1770106738803206299 -1.460573 -0.113068 7.167353 0.048717 0.932857 -0.056894 0.352374
1770106739152496338 -1.509357 -0.126328 7.156307 0.049640 0.909094 -0.057906 0.409550
1770106739571889404 -1.507526 -0.167855 7.115463 0.049656 0.886441 -0.055232 0.456844
1770106739920386719 -1.498224 -0.163037 7.069681 0.048465 0.857904 -0.057472 0.508281
1770106740268125244 -1.461102 -0.188665 7.009768 0.040162 0.841301 -0.058259 0.535915
1770106740685419434 -1.390083 -0.204823 7.027190 0.039077 0.888391 -0.058400 0.453679
1770106741033405029 -1.294510 -0.173586 7.001486 0.047680 0.922151 -0.066591 0.378062
1770106741381464111 -1.274370 -0.162736 6.909801 0.043615 0.949411 -0.065735 0.303967
1770106741799192871 -1.226593 -0.191496 6.930009 0.043403 0.972092 -0.059851 0.222644
1770106742147324707 -1.138339 -0.223316 6.944535 0.044335 0.986926 -0.055467 0.144689
1770106742565155029 -1.154809 -0.218749 6.838377 0.052600 0.986782 -0.053511 0.143635
1770106742913268066 -1.163170 -0.219842 6.784733 0.051132 0.985508 -0.055942 0.151755
1770106743261281006 -1.181171 -0.225610 6.701751 0.051118 0.982550 -0.055477 0.170011
1770106743678933105 -1.169882 -0.243147 6.693696 0.050080 0.979595 -0.055063 0.186693
1770106744027491211 -1.041433 -0.321147 6.616910 0.047080 0.974184 -0.052203 0.214533
